config,task,seed,score,rounds,milestones,resolved
full,task1,7,0.99,4,5,True
full,task1,42,0.99,4,5,True
full,task1,99,0.99,4,5,True
full,task2,7,0.46,15,5,False
full,task2,42,0.46,15,5,False
full,task2,99,0.46,15,5,False
full,task3,7,0.88,6,9,True
full,task3,42,0.88,6,9,True
full,task3,99,0.88,6,9,True
full,task4,7,0.93,5,8,True
full,task4,42,0.93,5,8,True
full,task4,99,0.93,5,8,True
milestone_only,task1,7,0.99,4,5,True
milestone_only,task1,42,0.99,4,5,True
milestone_only,task1,99,0.99,4,5,True
milestone_only,task2,7,0.9,15,5,False
milestone_only,task2,42,0.9,15,5,False
milestone_only,task2,99,0.9,15,5,False
milestone_only,task3,7,0.99,6,9,True
milestone_only,task3,42,0.99,6,9,True
milestone_only,task3,99,0.99,6,9,True
milestone_only,task4,7,0.99,5,8,True
milestone_only,task4,42,0.99,5,8,True
milestone_only,task4,99,0.99,5,8,True
no_comm_bonus,task1,7,0.88,4,5,True
no_comm_bonus,task1,42,0.88,4,5,True
no_comm_bonus,task1,99,0.88,4,5,True
no_comm_bonus,task2,7,0.36,15,5,False
no_comm_bonus,task2,42,0.36,15,5,False
no_comm_bonus,task2,99,0.36,15,5,False
no_comm_bonus,task3,7,0.83,6,9,True
no_comm_bonus,task3,42,0.83,6,9,True
no_comm_bonus,task3,99,0.83,6,9,True
no_comm_bonus,task4,7,0.88,5,8,True
no_comm_bonus,task4,42,0.88,5,8,True
no_comm_bonus,task4,99,0.88,5,8,True
no_anti_hack,task1,7,0.99,4,5,True
no_anti_hack,task1,42,0.99,4,5,True
no_anti_hack,task1,99,0.99,4,5,True
no_anti_hack,task2,7,0.46,15,5,False
no_anti_hack,task2,42,0.46,15,5,False
no_anti_hack,task2,99,0.46,15,5,False
no_anti_hack,task3,7,0.88,6,9,True
no_anti_hack,task3,42,0.88,6,9,True
no_anti_hack,task3,99,0.88,6,9,True
no_anti_hack,task4,7,0.93,5,8,True
no_anti_hack,task4,42,0.93,5,8,True
no_anti_hack,task4,99,0.93,5,8,True
